"province","death_source_id","death_source_short","death_source_full"
"BC",23,"BC23","https://bc.ctvnews.ca/health-officials-announce-11-more-deaths-45-more-positive-cases-of-covid-19-in-b-c-1.4893775#_gus&_gucid=&_gup=twitter&_gsc=0mmKsgR"
"BC",24,"BC24","https://globalnews.ca/news/6817494/bc-coronavirus-update-april-14/"
"BC",25,"BC25","https://www.youtube.com/watch?v=VBsYBYB4mY4"
"BC",26,"BC26","https://experience.arcgis.com/experience/a6f23959a8b14bfa989e3cda29297ded"
"BC",27,"BC27","http://www.bccdc.ca/health-info/diseases-conditions/covid-19/data"
"BC",28,"BC28","https://www.youtube.com/watch?v=L29LgR0q2oE"
"BC",29,"BC29","https://vancouverisland.ctvnews.ca/b-c-health-officials-announce-1-more-covid-19-death-25-new-cases-1.4905637"
"BC",30,"BC30","https://www.youtube.com/watch?v=81DJSzlFnvE"
"BC",31,"BC31","https://www.youtube.com/watch?v=JHblwo1Yoow"
"BC",32,"BC32","https://vancouverisland.ctvnews.ca/95-new-cases-of-covid-19-in-b-c-as-death-toll-hits-100-1.4911910"
"BC",33,"BC33","https://www.youtube.com/watch?v=GBY8HInNITM"
"BC",34,"BC34","https://www.youtube.com/watch?v=H_MdykTbKT0"
"BC",35,"BC35","https://www.youtube.com/watch?v=svDGMfWG23Q"
"BC",36,"BC36","https://www.youtube.com/watch?v=4t3chhgf-3M"
"BC",37,"BC37","https://bc.ctvnews.ca/b-c-reports-one-more-covid-19-death-33-new-cases-1.4920682"
"BC",38,"BC38","https://www.youtube.com/watch?v=IQBuOJ7l_xE"
"BC",39,"BC39","https://www.youtube.com/watch?v=ChN-Knaz888"
"BC",40,"BC40","https://bc.ctvnews.ca/b-c-announces-23-new-cases-3-more-deaths-from-covid-19-1.4927281#_gus&_gucid=&_gup=twitter&_gsc=eNHcYE"
"BC",41,"BC41","https://www.youtube.com/watch?v=VA49Zz5kKWk"
"BC",42,"BC42","https://bc.ctvnews.ca/b-c-records-29-new-cases-one-more-death-from-covid-19-1.4931061"
"BC",43,"BC43","https://globalnews.ca/news/6925263/bc-coronavirus-update-may-9/"
"BC",44,"BC44","https://www.youtube.com/watch?v=zaH2r8UTqd8"
"BC",45,"BC45","https://www.youtube.com/watch?v=Kvr-lQtFko8"
"BC",46,"BC46","https://www.youtube.com/watch?v=IeW0IgBZLYI"
"BC",47,"BC47","https://www.youtube.com/watch?v=ziGtCWgIE9g"
"BC",48,"BC48","https://biv.com/article/2020/05/bc-deaths-now-total-141-new-infections-fraser-health-authority"
"BC",49,"BC49","https://www.youtube.com/watch?v=vrFWH3b8Fbo"
"BC",50,"BC50","https://www.youtube.com/watch?v=upaY5WlzBz8"
"BC",51,"BC51","https://www.youtube.com/watch?v=tcxPxcRC-sc"
"BC",52,"BC52","https://www.youtube.com/watch?v=KGjgYFRd36I"
"BC",53,"BC53","https://vancouverisland.ctvnews.ca/b-c-announces-1-more-covid-19-death-9-new-cases-1.4956944"
"BC",54,"BC54","https://www.youtube.com/watch?v=7Rm9vPyfaeg"
"BC",55,"BC55","https://www.youtube.com/watch?v=PzC4GTRwUwI"
"BC",56,"BC56","https://vancouversun.com/news/local-news/covid-19-here-are-all-the-b-c-cases-of-the-novel-coronavirus"
"BC",57,"BC57","https://vancouverisland.ctvnews.ca/b-c-reports-16-new-covid-19-cases-1-more-death-1.4981687"
"BC",58,"BC58","https://www.youtube.com/watch?v=yNIgr-eM2wU"
"BC",59,"BC59","https://vancouverisland.ctvnews.ca/14-new-cases-of-covid-19-1-more-death-as-b-c-enters-phase-3-1.4998023"
"BC",60,"BC60","https://www.youtube.com/watch?v=0DhglGwk3Ko"
"BC",61,"BC61","https://vancouverisland.ctvnews.ca/b-c-announces-10-new-cases-of-covid-19-1-more-death-1.5001552"
"BC",62,"BC62","https://www.youtube.com/watch?v=4oB0zmtqA0s"
"BC",63,"BC63","https://www.youtube.com/watch?v=aGabSXHQK38"
"BC",64,"BC64","https://www.cbc.ca/news/canada/british-columbia/3-more-deaths-from-covid-19-recorded-in-b-c-as-cases-top-3-000-1.5642707"
"BC",65,"BC65","https://vancouverisland.ctvnews.ca/b-c-reports-25-new-covid-19-cases-1-more-death-1.5019355"
"BC",66,"BC66","https://globalnews.ca/news/7172302/bc-coronavirus-update-july-13/"
