"province","date_recovered","recovered","cumulative_recovered"
"BC","14-07-2020",12,2730
"BC","15-07-2020",23,2753
"BC","16-07-2020",36,2789
"BC","17-07-2020",13,2802
"BC","18-07-2020",0,2802
"BC","19-07-2020",0,2802
"BC","20-07-2020",56,2858
"BC","21-07-2020",15,2873
"BC","22-07-2020",15,2888
"BC","23-07-2020",10,2898
"BC","24-07-2020",36,2934
"BC","25-07-2020",0,2934
"BC","26-07-2020",0,2934
"BC","27-07-2020",109,3043
"BC","28-07-2020",33,3076
"BC","29-07-2020",33,3109
"BC","30-07-2020",46,3155
"BC","31-07-2020",13,3168
"BC","01-08-2020",0,3168
"BC","02-08-2020",0,3168
"BC","03-08-2020",0,3168
"BC","04-08-2020",105,3273
"BC","05-08-2020",15,3288
"BC","06-08-2020",27,3315
"BC","07-08-2020",38,3353
"BC","08-08-2020",0,3353
"BC","09-08-2020",0,3353
"BC","10-08-2020",72,3425
"BC","11-08-2020",19,3444
"BC","12-08-2020",25,3469
"BC","13-08-2020",31,3500
"BC","14-08-2020",33,3533
"BC","15-08-2020",0,3533
"BC","16-08-2020",0,3533
"BC","17-08-2020",120,3653
"BC","18-08-2020",51,3704
"BC","19-08-2020",45,3749
"BC","20-08-2020",96,3845
"BC","21-08-2020",44,3889
"BC","22-08-2020",0,3889
"BC","23-08-2020",0,3889
"BC","24-08-2020",179,4068
"BC","25-08-2020",46,4114
"BC","26-08-2020",85,4199
"BC","27-08-2020",54,4253
"BC","28-08-2020",57,4310
"BC","29-08-2020",0,4310
"BC","30-08-2020",0,4310
"BC","31-08-2020",96,4406
"BC","01-09-2020",99,4505
"BC","02-09-2020",100,4605
"BC","03-09-2020",39,4644
"BC","04-09-2020",62,4706
"BC","05-09-2020",0,4706
"BC","06-09-2020",0,4706
"BC","07-09-2020",0,4706
"BC","08-09-2020",272,4978
"BC","09-09-2020",108,5086
"BC","10-09-2020",104,5190
"BC","11-09-2020",83,5273
"BC","12-09-2020",0,5273
"BC","13-09-2020",0,5273
"BC","14-09-2020",173,5446
"BC","15-09-2020",102,5548
"BC","16-09-2020",98,5646
"BC","17-09-2020",73,5719
"BC","18-09-2020",78,5797
"BC","19-09-2020",0,5797
"BC","20-09-2020",0,5797
"BC","21-09-2020",175,5972
"BC","22-09-2020",617,6589
"BC","23-09-2020",180,6769
"BC","24-09-2020",148,6917
"BC","25-09-2020",119,7036
"BC","26-09-2020",0,7036
"BC","27-09-2020",0,7036
"BC","28-09-2020",310,7346
"BC","29-09-2020",139,7485
"BC","30-09-2020",106,7591
"BC","01-10-2020",104,7695
"BC","02-10-2020",118,7813
"BC","03-10-2020",0,7813
"BC","04-10-2020",0,7813
"BC","05-10-2020",302,8115
"BC","06-10-2020",69,8184
"BC","07-10-2020",112,8296
"BC","08-10-2020",102,8398
"BC","09-10-2020",104,8502
"BC","10-10-2020",0,8502
"BC","11-10-2020",0,8502
"BC","12-10-2020",0,8502
"BC","13-10-2020",472,8974
"BC","14-10-2020",138,9112
"BC","15-10-2020",145,9257
"BC","16-10-2020",130,9387
"BC","17-10-2020",0,9387
"BC","18-10-2020",0,9387
"Manitoba","12-02-2020",0,0
"Manitoba","13-02-2020",0,0
"Manitoba","14-02-2020",0,0
"Manitoba","15-02-2020",0,0
"Manitoba","16-02-2020",0,0
"Manitoba","17-02-2020",0,0
"Manitoba","18-02-2020",0,0
"Manitoba","19-02-2020",0,0
"Manitoba","20-02-2020",0,0
"Manitoba","21-02-2020",0,0
"Manitoba","22-02-2020",0,0
"Manitoba","23-02-2020",0,0
"Manitoba","24-02-2020",0,0
"Manitoba","25-02-2020",0,0
"Manitoba","26-02-2020",0,0
"Manitoba","27-02-2020",0,0
"Manitoba","28-02-2020",0,0
"Manitoba","29-02-2020",0,0
"Manitoba","01-03-2020",0,0
"Manitoba","02-03-2020",0,0
"Manitoba","03-03-2020",0,0
"Manitoba","04-03-2020",0,0
"Manitoba","05-03-2020",0,0
"Manitoba","06-03-2020",0,0
"Manitoba","07-03-2020",0,0
"Manitoba","08-03-2020",0,0
"Manitoba","09-03-2020",0,0
"Manitoba","10-03-2020",0,0
"Manitoba","11-03-2020",0,0
"Manitoba","12-03-2020",0,0
"Manitoba","13-03-2020",0,0
"Manitoba","14-03-2020",0,0
"Manitoba","15-03-2020",0,0
"Manitoba","16-03-2020",0,0
"Manitoba","17-03-2020",0,0
"Manitoba","18-03-2020",0,0
"Manitoba","19-03-2020",0,0
"Manitoba","20-03-2020",0,0
"Manitoba","21-03-2020",0,0
"Manitoba","22-03-2020",0,0
"Manitoba","23-03-2020",0,0
"Manitoba","24-03-2020",0,0
"Manitoba","25-03-2020",0,0
"Manitoba","26-03-2020",0,0
"Manitoba","27-03-2020",0,0
"Manitoba","28-03-2020",0,0
"Manitoba","29-03-2020",2,2
"Manitoba","30-03-2020",0,2
"Manitoba","31-03-2020",2,4
"Manitoba","01-04-2020",0,4
"Manitoba","02-04-2020",7,11
"Manitoba","03-04-2020",0,11
"Manitoba","04-04-2020",6,17
"Manitoba","05-04-2020",0,17
"Manitoba","06-04-2020",0,17
"Manitoba","07-04-2020",4,21
"Manitoba","08-04-2020",48,69
"Manitoba","09-04-2020",7,76
"Manitoba","10-04-2020",16,92
"Manitoba","11-04-2020",4,96
"Manitoba","12-04-2020",0,96
"Manitoba","13-04-2020",3,99
"Manitoba","14-04-2020",0,99
"Manitoba","15-04-2020",9,108
"Manitoba","16-04-2020",13,121
"Manitoba","17-04-2020",11,132
"Manitoba","18-04-2020",8,140
"Manitoba","19-04-2020",3,143
"Manitoba","20-04-2020",1,144
"Manitoba","21-04-2020",6,150
"Manitoba","22-04-2020",4,154
"Manitoba","23-04-2020",20,174
"Manitoba","24-04-2020",22,196
"Manitoba","25-04-2020",3,199
"Manitoba","26-04-2020",0,199
"Manitoba","27-04-2020",6,205
"Manitoba","28-04-2020",4,209
"Manitoba","29-04-2020",4,213
"Manitoba","30-04-2020",7,220
"Manitoba","01-05-2020",15,235
"Manitoba","02-05-2020",1,236
"Manitoba","03-05-2020",1,237
"Manitoba","04-05-2020",1,238
"Manitoba","05-05-2020",0,238
"Manitoba","06-05-2020",4,242
"Manitoba","07-05-2020",1,243
"Manitoba","08-05-2020",4,247
"Manitoba","09-05-2020",0,247
"Manitoba","10-05-2020",0,247
"Manitoba","11-05-2020",0,247
"Manitoba","12-05-2020",4,251
"Manitoba","13-05-2020",0,251
"Manitoba","14-05-2020",1,252
"Manitoba","15-05-2020",2,254
"Manitoba","16-05-2020",3,257
"Manitoba","17-05-2020",0,257
"Manitoba","18-05-2020",0,257
"Manitoba","19-05-2020",0,257
"Manitoba","20-05-2020",3,260
"Manitoba","21-05-2020",5,265
"Manitoba","22-05-2020",2,267
"Manitoba","23-05-2020",1,268
"Manitoba","24-05-2020",0,268
"Manitoba","25-05-2020",0,268
"Manitoba","26-05-2020",1,269
"Manitoba","27-05-2020",2,271
"Manitoba","28-05-2020",2,273
"Manitoba","29-05-2020",0,273
"Manitoba","30-05-2020",5,278
"Manitoba","31-05-2020",0,278
"Manitoba","01-06-2020",0,278
"Manitoba","02-06-2020",0,278
"Manitoba","03-06-2020",4,282
"Manitoba","04-06-2020",2,284
"Manitoba","05-06-2020",0,284
"Manitoba","06-06-2020",0,284
"Manitoba","07-06-2020",0,284
"Manitoba","08-06-2020",0,284
"Manitoba","09-06-2020",1,285
"Manitoba","10-06-2020",0,285
"Manitoba","11-06-2020",1,286
"Manitoba","12-06-2020",3,289
"Manitoba","13-06-2020",0,289
"Manitoba","14-06-2020",0,289
"Manitoba","15-06-2020",3,292
"Manitoba","16-06-2020",0,292
"Manitoba","17-06-2020",1,293
"Manitoba","18-06-2020",0,293
"Manitoba","19-06-2020",0,293
"Manitoba","20-06-2020",0,293
"Manitoba","21-06-2020",0,293
"Manitoba","22-06-2020",0,293
"Manitoba","23-06-2020",0,293
"Manitoba","24-06-2020",0,293
"Manitoba","25-06-2020",1,294
"Manitoba","26-06-2020",6,300
"Manitoba","27-06-2020",0,300
"Manitoba","28-06-2020",0,300
"Manitoba","29-06-2020",0,300
"Manitoba","30-06-2020",0,300
"Manitoba","01-07-2020",0,300
"Manitoba","02-07-2020",2,302
"Manitoba","03-07-2020",0,302
"Manitoba","04-07-2020",0,302
"Manitoba","05-07-2020",0,302
"Manitoba","06-07-2020",2,304
"Manitoba","07-07-2020",3,307
"Manitoba","08-07-2020",5,312
"Manitoba","09-07-2020",2,314
"Manitoba","10-07-2020",0,314
"Manitoba","11-07-2020",0,314
"Manitoba","12-07-2020",0,314
"Manitoba","13-07-2020",3,317
"Manitoba","14-07-2020",1,318
"Manitoba","15-07-2020",0,318
"Manitoba","16-07-2020",0,318
"Manitoba","17-07-2020",0,318
"Manitoba","18-07-2020",0,318
"Manitoba","19-07-2020",0,318
"Manitoba","20-07-2020",0,318
"Manitoba","21-07-2020",0,318
"Manitoba","22-07-2020",0,318
"Manitoba","23-07-2020",1,319
"Manitoba","24-07-2020",0,319
"Manitoba","25-07-2020",0,319
"Manitoba","26-07-2020",0,319
"Manitoba","27-07-2020",0,319
"Manitoba","28-07-2020",0,319
"Manitoba","29-07-2020",6,325
"Manitoba","30-07-2020",0,325
"Manitoba","31-07-2020",12,337
"Manitoba","01-08-2020",0,337
"Manitoba","02-08-2020",0,337
"Manitoba","03-08-2020",0,337
"Manitoba","04-08-2020",4,341
"Manitoba","05-08-2020",1,342
"Manitoba","06-08-2020",6,348
"Manitoba","07-08-2020",3,351
"Manitoba","08-08-2020",0,351
"Manitoba","09-08-2020",1,352
"Manitoba","10-08-2020",2,354
"Manitoba","11-08-2020",6,360
"Manitoba","12-08-2020",8,368
"Manitoba","13-08-2020",9,377
"Manitoba","14-08-2020",12,389
"Manitoba","15-08-2020",54,443
"Manitoba","16-08-2020",40,483
"Manitoba","17-08-2020",7,490
"Manitoba","18-08-2020",12,502
"Manitoba","19-08-2020",26,528
"Manitoba","20-08-2020",9,537
"Manitoba","21-08-2020",16,553
"Manitoba","22-08-2020",17,570
"Manitoba","23-08-2020",6,576
"Manitoba","24-08-2020",10,586
"Manitoba","25-08-2020",20,606
"Manitoba","26-08-2020",16,622
"Manitoba","27-08-2020",21,643
"Manitoba","28-08-2020",21,664
"Manitoba","29-08-2020",29,693
"Manitoba","30-08-2020",17,710
"Manitoba","31-08-2020",21,731
"Manitoba","01-09-2020",28,759
"Manitoba","02-09-2020",17,776
"Manitoba","03-09-2020",15,791
"Manitoba","04-09-2020",44,835
"Manitoba","05-09-2020",17,852
"Manitoba","06-09-2020",46,898
"Manitoba","07-09-2020",12,910
"Manitoba","08-09-2020",30,940
"Manitoba","09-09-2020",5,945
"Manitoba","10-09-2020",57,1002
"Manitoba","11-09-2020",88,1090
"Manitoba","12-09-2020",66,1156
"Manitoba","13-09-2020",17,1173
"Manitoba","14-09-2020",3,1176
"Manitoba","15-09-2020",5,1181
"Manitoba","16-09-2020",9,1190
"Manitoba","17-09-2020",1,1191
"Manitoba","18-09-2020",8,1199
"Manitoba","19-09-2020",12,1211
"Manitoba","20-09-2020",5,1216
"Manitoba","21-09-2020",11,1227
"Manitoba","22-09-2020",7,1234
"Manitoba","23-09-2020",4,1238
"Manitoba","24-09-2020",5,1243
"Manitoba","25-09-2020",15,1258
"Manitoba","26-09-2020",7,1265
"Manitoba","27-09-2020",7,1272
"Manitoba","28-09-2020",9,1281
"Manitoba","29-09-2020",46,1327
"Manitoba","30-09-2020",47,1374
"Manitoba","01-10-2020",14,1388
"Manitoba","02-10-2020",11,1399
"Manitoba","03-10-2020",10,1409
"Manitoba","04-10-2020",12,1421
"Manitoba","05-10-2020",8,1429
"Manitoba","06-10-2020",12,1441
"Manitoba","07-10-2020",7,1448
"Manitoba","08-10-2020",6,1454
"Manitoba","09-10-2020",11,1465
"Manitoba","10-10-2020",10,1475
"Manitoba","11-10-2020",8,1483
"Manitoba","12-10-2020",7,1490
"Manitoba","13-10-2020",6,1496
"Manitoba","14-10-2020",18,1514
"Manitoba","15-10-2020",19,1533
"Manitoba","16-10-2020",20,1553
"Manitoba","17-10-2020",19,1572
"Manitoba","18-10-2020",15,1587
"New Brunswick","12-02-2020",0,0
"New Brunswick","13-02-2020",0,0
"New Brunswick","14-02-2020",0,0
"New Brunswick","15-02-2020",0,0
"New Brunswick","16-02-2020",0,0
"New Brunswick","17-02-2020",0,0
"New Brunswick","18-02-2020",0,0
"New Brunswick","19-02-2020",0,0
"New Brunswick","20-02-2020",0,0
"New Brunswick","21-02-2020",0,0
"New Brunswick","22-02-2020",0,0
"New Brunswick","23-02-2020",0,0
"New Brunswick","24-02-2020",0,0
"New Brunswick","25-02-2020",0,0
"New Brunswick","26-02-2020",0,0
"New Brunswick","27-02-2020",0,0
"New Brunswick","28-02-2020",0,0
"New Brunswick","29-02-2020",0,0
"New Brunswick","01-03-2020",0,0
"New Brunswick","02-03-2020",0,0
"New Brunswick","03-03-2020",0,0
"New Brunswick","04-03-2020",0,0
"New Brunswick","05-03-2020",0,0
"New Brunswick","06-03-2020",0,0
"New Brunswick","07-03-2020",0,0
"New Brunswick","08-03-2020",0,0
"New Brunswick","09-03-2020",0,0
"New Brunswick","10-03-2020",0,0
"New Brunswick","11-03-2020",0,0
"New Brunswick","12-03-2020",0,0
"New Brunswick","13-03-2020",0,0
"New Brunswick","14-03-2020",0,0
"New Brunswick","15-03-2020",0,0
"New Brunswick","16-03-2020",0,0
"New Brunswick","17-03-2020",0,0
"New Brunswick","18-03-2020",0,0
"New Brunswick","19-03-2020",0,0
"New Brunswick","20-03-2020",0,0
"New Brunswick","21-03-2020",0,0
"New Brunswick","22-03-2020",0,0
"New Brunswick","23-03-2020",0,0
"New Brunswick","24-03-2020",0,0
"New Brunswick","25-03-2020",0,0
"New Brunswick","26-03-2020",0,0
"New Brunswick","27-03-2020",1,1
"New Brunswick","28-03-2020",1,2
"New Brunswick","29-03-2020",0,2
"New Brunswick","30-03-2020",0,2
"New Brunswick","31-03-2020",7,9
"New Brunswick","01-04-2020",5,14
"New Brunswick","02-04-2020",8,22
"New Brunswick","03-04-2020",3,25
"New Brunswick","04-04-2020",3,28
