"province","date_active","cumulative_cases","cumulative_recovered","cumulative_deaths","active_cases","active_cases_change"
"Ontario","14-06-2020",33745,26961,2570,4214,-256
"Ontario","15-06-2020",33952,27213,2579,4160,-54
"Ontario","16-06-2020",34142,27431,2593,4118,-42
"Ontario","17-06-2020",34338,27784,2599,3955,-163
"Ontario","18-06-2020",34526,28004,2603,3919,-36
"Ontario","19-06-2020",34735,28250,2613,3872,-47
"Ontario","20-06-2020",34916,28468,2640,3808,-64
"Ontario","21-06-2020",35073,28719,2645,3709,-99
"Ontario","22-06-2020",35297,28933,2654,3710,1
"Ontario","23-06-2020",35535,29107,2664,3764,54
"Ontario","24-06-2020",35736,29336,2677,3723,-41
"Ontario","25-06-2020",35914,29528,2689,3697,-26
"Ontario","26-06-2020",36029,29754,2692,3583,-114
"Ontario","27-06-2020",36193,29932,2701,3560,-23
"Ontario","28-06-2020",36445,30107,2706,3632,72
"Ontario","29-06-2020",36683,30196,2716,3771,139
"Ontario","30-06-2020",36834,30344,2720,3770,-1
"Ontario","01-07-2020",36958,30344,2724,3890,120
"Ontario","02-07-2020",37117,30730,2728,3659,-231
"Ontario","03-07-2020",37282,30909,2731,3642,-17
"Ontario","04-07-2020",37398,31083,2733,3582,-60
"Ontario","05-07-2020",37522,31266,2734,3522,-60
"Ontario","06-07-2020",37706,31426,2734,3546,24
"Ontario","07-07-2020",37790,31603,2735,3452,-94
"Ontario","08-07-2020",37954,31805,2740,3409,-43
"Ontario","09-07-2020",38075,31977,2742,3356,-53
"Ontario","10-07-2020",38194,32155,2752,3287,-69
"Ontario","11-07-2020",38275,32422,2752,3101,-186
"Ontario","12-07-2020",38341,32534,2753,3054,-47
"Ontario","13-07-2020",38597,32663,2759,3175,121
"Ontario","14-07-2020",38680,32785,2761,3134,-41
"Ontario","15-07-2020",38784,32920,2770,3094,-40
"Ontario","16-07-2020",38905,33061,2776,3068,-26
"Ontario","17-07-2020",39048,33162,2781,3105,37
"Ontario","18-07-2020",39247,33294,2782,3171,66
"Ontario","19-07-2020",39394,33407,2785,3202,31
"Ontario","20-07-2020",39548,33513,2785,3250,48
"Ontario","21-07-2020",39735,33605,2788,3342,92
"Ontario","22-07-2020",39871,33812,2789,3270,-72
"Ontario","23-07-2020",40014,33963,2789,3262,-8
"Ontario","24-07-2020",40222,34100,2792,3330,68
"Ontario","25-07-2020",40350,34240,2794,3316,-14
"Ontario","26-07-2020",40454,34359,2798,3297,-19
"Ontario","27-07-2020",40604,34461,2799,3344,47
"Ontario","28-07-2020",40728,34567,2804,3357,13
"Ontario","29-07-2020",40821,34741,2806,3274,-83
"Ontario","30-07-2020",40923,34906,2809,3208,-66
"Ontario","31-07-2020",41041,35074,2811,3156,-52
"Ontario","01-08-2020",41150,35237,2813,3100,-56
"Ontario","02-08-2020",41224,35359,2814,3051,-49
"Ontario","03-08-2020",41294,35359,2817,3118,67
"Ontario","04-08-2020",41420,35601,2820,2999,-119
"Ontario","05-08-2020",41495,35747,2821,2927,-72
"Ontario","06-08-2020",41581,35906,2821,2854,-73
"Ontario","07-08-2020",41672,36024,2821,2827,-27
"Ontario","08-08-2020",41749,36131,2823,2795,-32
"Ontario","09-08-2020",41808,36279,2824,2705,-90
"Ontario","10-08-2020",41943,36381,2824,2738,33
"Ontario","11-08-2020",42034,36456,2825,2753,15
"Ontario","12-08-2020",42107,36590,2825,2692,-61
"Ontario","13-08-2020",42179,36689,2826,2664,-28
"Ontario","14-08-2020",42282,36772,2827,2683,19
"Ontario","15-08-2020",42364,36873,2827,2664,-19
"Ontario","16-08-2020",42412,36953,2827,2632,-32
"Ontario","17-08-2020",42543,37036,2827,2680,48
"Ontario","18-08-2020",42660,37126,2828,2706,26
"Ontario","19-08-2020",42751,37215,2828,2708,2
