"province","additional_source_id","additional_source_short","additional_source_full"
"Ontario",4,"ON4","https://www.stcatharinesstandard.ca/news-story/9914595-niagara-s-first-covid-19-patient-dies-in-hospital/"
"Ontario",5,"ON5","https://www.durham.ca/Modules/News/index.aspx?feedId=afd6c417-383e-4d55-b0ec-43c96d4f448b&newsId=a902eaac-94be-485e-90fc-30be3577dac0"
"Ontario",6,"ON6","https://globalnews.ca/news/6740772/ontario-coronavirus-covid-19-cases-march-27/"
"Ontario",7,"ON7","https://www.orilliamatters.com/coronavirus-covid-19-local-news/orillia-man-dies-at-osmh-as-a-result-of-covid-19-2211297"
"Ontario",8,"ON8","https://toronto.ctvnews.ca/ontario-health-officials-confirm-211-new-cases-of-covid-19-two-more-deaths-1.4873152"
"Ontario",9,"ON9","https://hnhu.org/haldimand-norfolk-health-unit-confirms-first-death-related-to-covid-19/"
"Ontario",10,"ON10","https://www.hpph.ca/en/news/huron-perth-public-health-notified-of-first-covid-19-death.aspx"
"Ontario",11,"ON11","https://www.stcatharinesstandard.ca/news-story/9920157-second-person-dies-in-niagara-due-to-covid-19/"
"Ontario",12,"ON12","https://ottawacitizen.com/news/local-news/covid-19-first-case-at-carleton-university-ontario-nears-2000-case-mark/"
"Ontario",13,"ON13","https://www.york.ca/wps/portal/yorkhome/health/yr/infectiousdiseasesandprevention/covid19/covid19/!ut/p/z1/jZDfT4MwEMf_Fh94lB6Mjc63ijrKtmBi3LAvpoMOMKwlLYPEv95Ol5glit7D5e7yuR_fQwxliEne1yXvaiV5Y_MXNnulZEHjeAlJGuAICKQk8UMM93MPbT8B-MUIIPaf_hGAjY9P_lpgFfh6Ha1LxFreVde13CuUWS9yq_FoitoIboThsmi16IU8KUdZrvq68ObfwRaxy1WLJxwA3SQh2XgpBHRyBnw_mMVeBAnEKQb6ED5O73DswdI_A-Nqykbtvh5P5G6C7dla7IUW2j1qW666rjU3DjgwDINbKlU2ws3VwYGfWiplOpRdkqg9PGfvq9s5fZs2_YpcfQDml0gV/dz/d5/L2dBISEvZ0FBIS9nQSEh/#.XoKzmdNKiu5"
"Ontario",14,"ON14","https://globalnews.ca/news/6757532/ottawa-public-health-3rd-covid-19-death/"
"Ontario",15,"ON15","https://www.durhamregion.com/news-story/9913574-coronavirus-pandemic-the-latest-news-from-across-durham-region/"
"Ontario",16,"ON16","https://www.brantfordexpositor.ca/news/local-news/update-27-positive-covid-19-cases-two-deaths-in-haldimand-and-norfolk/wcm/2379cffe-5b39-4e94-8b0a-175270261d35"
"Ontario",17,"ON17","https://windsorstar.com/news/local-news/health-unit-reports-two-more-covid-19-deaths-in-windsor-essex/"
"Ontario",18,"ON18","https://www.newmarkettoday.ca/coronavirus-covid-19-local-news/york-region-covid-19-deaths-jump-to-13-southlake-reporting-its-2nd-fatality-2225360"
"Ontario",19,"ON19","https://www.cbc.ca/news/canada/london/coronavirus-cases-lonon-ontario-april-4-1.5522024"
"Ontario",20,"ON20","http://www.porcupinehu.on.ca/en/audiences/news-media/mediareleases/first-confirmed-covid-death-in-phu-area/"
"Ontario",21,"ON21","https://globalnews.ca/news/6779308/coronavirus-pinecrest-deaths/"
"Ontario",22,"ON22","https://www.thespec.com/news/hamilton-region/2020/04/04/third-covid-19-death-in-hamilton.html"
"Ontario",23,"ON23","https://www.newmarkettoday.ca/coronavirus-covid-19-local-news/ontario-covid-19-cases-climb-over-4000-with-408-more-today-2230031"
"Ontario",24,"ON24","https://www.durhamradionews.com/archives/125765"
"Ontario",25,"ON25","https://www.cbc.ca/news/canada/kitchener-waterloo/what-you-need-to-know-covid-19-waterloo-region-april-5-1.5522476"
"Ontario",26,"ON26","https://www.theobserver.ca/news/local-news/sunday-covid-19-caseload-continues-to-rise-in-sarnia-area"
"Ontario",27,"ON27","https://globalnews.ca/news/6783892/simcoe-muskoka-covid-19-coronavirus-april-6/"
"Ontario",28,"ON28","https://ottawasun.com/news/local-news/covid-19-17-new-ottawa-cases-cerb-applications-open/wcm/88e95e2c-2151-4a3a-9aa9-0016e5c9afcd"
"Ontario",29,"ON29","https://globalnews.ca/news/6782634/covid-19-cases-hamilton-april-6/"
"Ontario",30,"ON30","https://www.cp24.com/news/six-residents-with-covid-19-have-now-died-at-long-term-care-home-in-markham-1.4883872"
"Ontario",31,"ON31","https://kitchener.ctvnews.ca/fourth-person-dies-of-covid-19-total-cases-climb-to-207-1.4886209"
"Ontario",32,"ON32","https://www.theifp.ca/news-story/9936879-two-more-coronavirus-deaths-reported-among-durham-region-nursing-home-residents/"
"Ontario",33,"ON33","https://kitchener.ctvnews.ca/sixth-resident-of-hagersville-long-term-care-home-dies-of-covid-19-1.4886528"
"Ontario",34,"ON34","https://www.thespec.com/news/hamilton-region/2020/04/09/hamilton-has-its-sixth-death-from-covid-19-while-six-nations-reports-its-first.html"
"Ontario",35,"ON35","https://www.theobserver.ca/news/local-news/sarnia-lambtons-covid-19-cases-increase"
"Ontario",36,"ON36","https://www.theobserver.ca/news/local-news/sarnia-lambton-covid-19-count-rises-to-107-officials"
"Ontario",37,"ON37","https://www.orilliamatters.com/coronavirus-covid-19-local-news/covid-19-outbreak-at-spencer-house-declared-over-by-health-unit-2246999"
"Ontario",38,"ON38","https://www.cbc.ca/news/canada/kitchener-waterloo/stratford-greenwood-court-covid-19-death-1.5530334"
"Ontario",39,"ON39","https://www.thespec.com/news/hamilton-region/2020/04/11/covid-19-outbreaks-declared-in-two-units-at-joseph-brant-hospital.html"
"Ontario",40,"ON40","https://www.cbc.ca/news/canada/london/coronavirus-cases-london-ontario-april-12-1.5530239"
"Ontario",41,"ON41","https://www.ptbotoday.ca/2020/04/12/covid-19-first-reported-covid-19-death-reported-in-peterborough/"
"Ontario",42,"ON42","https://www.durhamradionews.com/archives/125937"
"Ontario",43,"ON43","https://toronto.ctvnews.ca/toronto-reports-13-more-covid-19-related-deaths-297-additional-cases-1.4894464"
"Ontario",44,"ON44","https://cjoy.com/news/6815909/waterloo-coronavirus-covid19-cases-april-14/"
"Ontario",45,"ON45","https://www.newmarkettoday.ca/coronavirus-covid-19-local-news/newmarkets-2nd-covid-19-death-among-york-regions-41-fatalities-2253880"
"Ontario",46,"ON46","https://globalnews.ca/news/6814457/coronavirus-greater-toronto-area-april-14-covid-19/"
"Ontario",47,"ON47","https://globalnews.ca/news/6820809/coronavirus-covid19-cases-waterloo-april-15/; https://www.cbc.ca/news/canada/kitchener-waterloo/what-you-need-to-know-covid-19-waterloo-region-april-15-1.5532846"
"Ontario",48,"ON48","https://globalnews.ca/news/6822023/covid-19-coronavirus-simcoe-muskoka-april-15/"
"Ontario",49,"ON49","https://kitchener.ctvnews.ca/waterloo-region-covid-19-deaths-rise-to-17-cases-reach-383-1.4898732; https://www.cbc.ca/news/canada/kitchener-waterloo/what-you-need-to-know-covid-19-waterloo-region-april-16-1.5534204"
"Ontario",50,"ON50","https://www.cbc.ca/news/canada/kitchener-waterloo/what-you-need-to-know-covid-19-waterloo-region-april-16-1.5534204"
"Ontario",51,"ON51","https://barrie.ctvnews.ca/health-unit-confirms-another-death-and-nine-new-cases-of-covid-19-in-the-region-1.4899406"
"Ontario",52,"ON52","https://globalnews.ca/news/6831974/waterloo-coronavirus-covid19-cases-april-17/"
"Ontario",53,"ON53","https://blackburnnews.com/sarnia/sarnia-news/2020/04/17/lambton-covid-caseload-stays-steady-two-deaths/"
"Ontario",54,"ON54","https://wechu.org/newsroom/news-release-april-17th-public-health-updates-related-coronavirus-covid-19"
"Ontario",55,"ON55","https://windsorite.ca/2020/04/452-total-cases-of-covid-19-in-windsor-essex-three-new-deaths-as-of-saturday-afternoon/"
"Ontario",56,"ON56","https://www.cbc.ca/news/canada/toronto/covid-19-ontario-april-19-1.5537639"
"Ontario",57,"ON57","https://www.stratfordbeaconherald.com/news/local-news/third-death-at-greenwood-court-two-new-cases-of-covid-19-reported-in-stratford"
"Ontario",58,"ON58","https://blackburnnews.com/sarnia/sarnia-news/2020/04/20/lambton-public-health-reports-14th-covid-related-death/"
"Ontario",59,"ON59","https://northernontario.ctvnews.ca/another-covid-19-death-confirmed-in-timmins-1.4903198"
"Ontario",60,"ON60","https://globalnews.ca/news/6841594/waterloo-coronavirus-cases-covid-19-april-20/"
"Ontario",61,"ON61","https://globalnews.ca/news/6847681/coronavirus-covid-19-simcoe-muskoka-april-21/"
"Ontario",62,"ON62","https://www.woodstocksentinelreview.com/news/local-news/public-health-reports-fourth-covid-19-related-death"
"Ontario",63,"ON63","https://www.collingwoodtoday.ca/coronavirus-covid-19-local-news/two-more-long-term-care-outbreaks-another-covid-19-death-reported-in-simcoe-muskoka-2274033"
"Ontario",64,"ON64","https://globalnews.ca/news/6852018/london-middlesex-covid-19-april-22/"
"Ontario",65,"ON65","https://www.durhamradionews.com/archives/126202"
"Ontario",66,"ON66","https://www.niagaracounty.com/health/Press-Releases/april-24-covid-19-update-1"
"Ontario",67,"ON67","https://windsorite.ca/2020/04/three-additional-deaths-541-total-cases-of-covid-19-in-windsor-essex-as-of-friday-morning/"
"Ontario",68,"ON68","https://globalnews.ca/news/6870054/coronavirus-london-middlesex-april-26/"
"Ontario",69,"ON69","https://www.cbc.ca/news/canada/kitchener-waterloo/what-you-need-to-know-covid-19-waterloo-region-april-26-1.5545492"
"Ontario",70,"ON70","https://www.cbc.ca/news/canada/kitchener-waterloo/what-you-need-to-know-covid-19-waterloo-region-april-26-1.5545493"
"Ontario",71,"ON71","https://www.cbc.ca/news/canada/kitchener-waterloo/what-you-need-to-know-covid-19-waterloo-region-april-26-1.5545494"
"Ontario",72,"ON72","https://www.cbc.ca/news/canada/kitchener-waterloo/what-you-need-to-know-covid-19-waterloo-region-april-26-1.5545495"
"Ontario",73,"ON73","https://globalnews.ca/news/6872182/london-middlesex-covid-19-april-27/"
"Ontario",74,"ON74","https://www.chch.com/3-more-residents-die-from-covid-19-at-lundy-manor-in-niagara-falls/"
"Ontario",75,"ON75","https://kitchener.ctvnews.ca/cases-of-covid-19-rise-to-683-death-toll-hits-61-in-waterloo-region-1.4913280"
"Ontario",76,"ON76","https://ottawacitizen.com/news/local-news/covid-19-new-cases-in-ontario-up-while-testing-is-down/"
"Ontario",77,"ON77","https://windsorstar.com/news/local-news/five-additional-deaths-12-more-cases-of-covid-19-confirmed-in-windsor-essex/"
"Ontario",78,"ON78","https://www.cbc.ca/news/canada/kitchener-waterloo/what-you-need-to-know-covid-19-waterloo-region-april-29-1.5548862"
"Ontario",79,"ON79","https://www.durhamradionews.com/archives/126323"
"Ontario",80,"ON80","https://www.mystratfordnow.com/71711/breaking-fifth-death-from-covid-19-in-huron-perth/"
"Ontario",81,"ON81","https://www.cornwallseawaynews.com/2020/05/04/first-covid-19-related-deaths-reported-in-eohu-region/"
"Ontario",82,"ON82","https://globalnews.ca/news/6903640/hamilton-coronavirus-update-may-4/"
"Ontario",83,"ON83","https://www.cbc.ca/news/canada/kitchener-waterloo/what-you-need-to-know-covid-19-waterloo-region-may-4-1.5554316"
"Ontario",84,"ON84","https://globalnews.ca/news/6903465/guelph-coronavirus-cases-may4-covid19/"
"Ontario",85,"ON85","https://www.recorder.ca/news/local-news/two-more-covid-19-deaths-in-the-area"
"Ontario",86,"ON86","https://www.newmarkettoday.ca/coronavirus-covid-19-local-news/resolved-covid-19-cases-near-50-in-york-region-yet-seniors-deaths-continue-to-rise-2323860"
"Ontario",87,"ON87","https://globalnews.ca/news/6907499/simcoe-muskoka-coronavirus-covid-19-may-5/"
"Ontario",88,"ON88","https://www.cbc.ca/news/canada/kitchener-waterloo/what-you-need-to-know-covid-19-waterloo-region-may-5-1.5555637"
"Ontario",89,"ON89","https://www.cbc.ca/news/canada/kitchener-waterloo/what-you-need-to-know-covid-19-waterloo-region-may-5-1.5555638"
"Ontario",90,"ON90","https://www.cbc.ca/news/canada/kitchener-waterloo/what-you-need-to-know-covid-19-waterloo-region-may-5-1.5555639"
"Ontario",91,"ON91","https://wechu.org/newsroom/news-release-may-5th-public-health-updates-related-coronavirus-covid-19"
"Ontario",92,"ON92","https://wechu.org/newsroom/news-release-may-6th-public-health-updates-related-coronavirus-covid-19"
"Ontario",93,"ON93","https://thesarniajournal.ca/number-of-local-covid-19-deaths-has-risen-to-16/"
"Ontario",94,"ON94","https://www.countylive.ca/fifth-covid-19-related-death-in-region-no-new-cases/"
"Ontario",95,"ON95","https://www.kitchenertoday.com/coronavirus-covid-19-local-news/four-more-deaths-16-new-cases-of-covid-19-in-waterloo-region-2331796"
"Ontario",96,"ON96","https://www.bradfordtoday.ca/coronavirus-covid-19-local-news/health-unit-reports-6-new-cases-of-covid-19-1-death-in-bradford-2341208"
"Ontario",97,"ON97","https://globalnews.ca/news/6928737/waterloo-coronavirus-cases-covid19-may-11/"
"Ontario",98,"ON98","https://kitchener.ctvnews.ca/covid-19-in-waterloo-region-14-new-cases-17-more-resolved-1.4935585"
"Ontario",99,"ON99","https://globalnews.ca/news/6938995/hamilton-covid-19-cases-may-13/"
"Ontario",100,"ON100","https://www.kitchenertoday.com/coronavirus-covid-19-local-news/covid-19-update-ten-new-cases-three-more-deaths-2350289"
"Ontario",101,"ON101","https://barrie.ctvnews.ca/death-toll-hits-32-in-simcoe-muskoka-as-another-senior-dies-with-covid-19-1.4939810"
"Ontario",102,"ON102","https://northernontario.ctvnews.ca/sixth-covid-19-death-porcupine-health-unit-1.4941104"
"Ontario",103,"ON103","https://www.thewhig.com/news/local-news/eohu-reports-11th-covid-19-death/wcm/8a238a2e-ee5b-4c1c-be1e-0d05df94ec0a"
"Ontario",104,"ON104","https://northernontario.ctvnews.ca/seventh-death-from-covid-19-confirmed-by-porcupine-health-unit-1.4952459"
"Ontario",105,"ON105","https://globalnews.ca/news/7011938/coronavirus-hamilton-two-deaths-weekend-three-new-cases/"
"Ontario",106,"ON106","https://globalnews.ca/news/6998549/hamilton-covid-19-cases-may-28/"
"Ontario",107,"ON107","https://www.wechu.org/newsroom/news-release-june-1st-public-health-updates-related-coronavirus-covid-19"
"Ontario",108,"ON108","https://blackburnnews.com/sarnia/sarnia-news/2020/06/01/covid-caseload-unchanged-active-cases-decline-1/"
"Ontario",109,"ON109","https://london.ctvnews.ca/middlesex-london-health-unit-confirms-one-covid-19-related-death-tuesday-1.4965540"
"Ontario",110,"ON110","https://www.wechu.org/newsroom/news-release-june-2nd-public-health-updates-related-coronavirus-covid-19"
"Ontario",111,"ON111","https://www.theobserver.ca/news/local-news/another-covid-19-death-reported-at-sarnia-nursing-home"
"Ontario",112,"ON112","https://globalnews.ca/news/7026638/hamilton-coronavirus-update-june-4/"
"Ontario",113,"ON113","https://london.ctvnews.ca/two-new-covid-19-cases-one-new-death-in-middlesex-london-1.4969469"
"Ontario",114,"ON114","https://www.thestar.com/news/canada/2020/06/06/second-migrant-worker-in-windsor-region-dies-due-to-covid-19-hospital-says.html"
"Ontario",115,"ON115","https://blackburnnews.com/sarnia/sarnia-news/2020/06/06/covid-claims-25th-life-sarnia-lambton/"
"Ontario",116,"ON116","https://globalnews.ca/news/7056795/alberta-coronavirus-june-11/"
"Ontario",117,"ON117","https://globalnews.ca/news/7041524/hamilton-covid-19-cases-june-8/"
"Ontario",118,"ON118","https://toronto.ctvnews.ca/three-more-residents-of-east-york-ltc-home-die-of-covid-19-1.4891435"
"Ontario",119,"ON119","https://www.cbc.ca/news/canada/london/coronavirus-cases-london-ontario-june-12-1.5609732"
"Ontario",120,"ON120","https://toronto.citynews.ca/2020/03/25/3-more-deaths-in-toronto-related-to-covid-19/"
"Ontario",121,"ON121","https://blackburnnews.com/windsor/windsor-news/2020/06/20/27-new-covid-19-cases-windsor-essex/"
"Ontario",122,"ON122","https://www.cbc.ca/news/canada/windsor/covid19-windsor-essex-july15-1.5650180"
"Ontario",123,"ON123","https://www.cbc.ca/news/canada/kitchener-waterloo/covid-19-death-waterloo-region-friday-1.5653401"
"Ontario",124,"ON124","https://www.cbc.ca/news/canada/windsor/covid19-windsor-essex-july29-1.5666991"
"Ontario",125,"ON125","https://ottawa.ctvnews.ca/ottawa-records-first-new-covid-19-death-in-more-than-a-month-cases-rise-by-25-1.5042058"
"Ontario",126,"ON126","https://www.bradfordtoday.ca/coronavirus-covid-19-local-news/simcoe-muskoka-health-unit-reports-new-covid-related-death-2612461"
"Ontario",127,"ON127","https://globalnews.ca/news/7266749/coronavirus-brant-county-covid-19-death-travel/"
"Ontario",128,"ON128","https://www.cbc.ca/news/canada/kitchener-waterloo/one-new-covid-19-death-reported-in-waterloo-region-1.5647416"
"Ontario",129,"ON129","https://ottawa.ctvnews.ca/ottawa-public-health-reports-largest-jump-in-covid-19-cases-in-a-month-1.5073752"
"Ontario",130,"ON130","https://windsor.ctvnews.ca/one-new-death-four-new-covid-19-cases-reported-in-windsor-essex-1.5089126"
"Ontario",131,"ON131","https://www.cbc.ca/news/canada/windsor/covid-19-windsor-essex-1.5710490"
"Ontario",132,"ON132","https://www.cbc.ca/news/canada/windsor/covid-19-windsor-essex-1.5714785"
