"province","health_region","date_death_report","deaths","cumulative_deaths"
"BC","Not Reported","21-03-2020",0,0
"BC","Not Reported","22-03-2020",0,0
"BC","Not Reported","23-03-2020",0,0
"BC","Not Reported","24-03-2020",0,0
"BC","Not Reported","25-03-2020",0,0
"BC","Not Reported","26-03-2020",0,0
"BC","Not Reported","27-03-2020",0,0
"BC","Not Reported","28-03-2020",0,0
"BC","Not Reported","29-03-2020",0,0
"BC","Not Reported","30-03-2020",0,0
"BC","Not Reported","31-03-2020",0,0
"BC","Not Reported","01-04-2020",0,0
"BC","Not Reported","02-04-2020",0,0
"BC","Not Reported","03-04-2020",0,0
"BC","Not Reported","04-04-2020",0,0
"BC","Not Reported","05-04-2020",0,0
"BC","Not Reported","06-04-2020",0,0
"BC","Not Reported","07-04-2020",0,0
"BC","Not Reported","08-04-2020",0,0
"BC","Not Reported","09-04-2020",0,0
"BC","Not Reported","10-04-2020",0,0
"BC","Not Reported","11-04-2020",0,0
"BC","Not Reported","12-04-2020",0,0
"BC","Not Reported","13-04-2020",0,0
"BC","Not Reported","14-04-2020",0,0
"BC","Not Reported","15-04-2020",0,0
"BC","Not Reported","16-04-2020",0,0
"BC","Not Reported","17-04-2020",0,0
"BC","Not Reported","18-04-2020",0,0
"BC","Not Reported","19-04-2020",0,0
"BC","Not Reported","20-04-2020",0,0
"BC","Not Reported","21-04-2020",0,0
"BC","Not Reported","22-04-2020",0,0
"BC","Not Reported","23-04-2020",0,0
"BC","Not Reported","24-04-2020",0,0
"BC","Not Reported","25-04-2020",0,0
"BC","Not Reported","26-04-2020",0,0
"BC","Not Reported","27-04-2020",0,0
"BC","Not Reported","28-04-2020",0,0
"BC","Not Reported","29-04-2020",0,0
"BC","Not Reported","30-04-2020",0,0
"BC","Not Reported","01-05-2020",0,0
"BC","Not Reported","02-05-2020",2,2
"BC","Not Reported","03-05-2020",0,2
"BC","Vancouver Coastal","08-03-2020",1,1
"BC","Vancouver Coastal","09-03-2020",0,1
